mdate,Rf,MktRf,Food,Beer,Smoke,Games,Books,Hshld,Clths,Hlth,Chems,Txtls,Cnstr,Steel,FabPr,ElcEq,Autos,Carry,Mines,Coal,Oil,Util,Telcm,Servs,BusEq,Paper,Trans,Whlsl,Rtail,Meals,Fin,Other
200005,0.50%,-4.40%,14.92%,11.89%,19.52%,1.25%,-6.09%,2.91%,-5.29%,3.98%,0.06%,-4.03%,-6.49%,-4.84%,-6.97%,0.24%,-14.95%,-0.73%,1.24%,-12.77%,10.92%,3.97%,-10.76%,-9.00%,-11.49%,-1.89%,-3.60%,1.48%,-3.15%,-4.25%,4.92%,5.51%
200006,0.40%,4.76%,1.68%,6.06%,2.98%,-1.02%,-0.28%,-2.94%,-7.74%,11.58%,-6.35%,-8.92%,-1.71%,16.01%,1.10%,0.68%,-12.07%,-9.97%,-4.77%,14.81%,-5.93%,-4.72%,4.07%,11.22%,12.88%,-6.00%,-1.91%,-2.27%,-1.96%,-3.96%,-4.09%,2.08%
200007,0.48%,-2.19%,-0.84%,6.58%,-4.39%,-1.49%,-1.59%,-2.38%,5.61%,-6.22%,0.86%,4.74%,-3.21%,-6.20%,-1.39%,0.23%,4.92%,7.16%,-6.58%,11.38%,-2.68%,4.21%,-7.51%,-7.98%,-3.25%,4.30%,9.59%,4.29%,-2.03%,-2.00%,8.64%,-1.30%
200008,0.50%,7.08%,-2.93%,-10.94%,19.03%,5.48%,2.66%,3.84%,3.03%,3.76%,2.67%,-3.68%,5.56%,25.05%,8.41%,7.27%,5.93%,10.24%,4.55%,17.76%,8.83%,11.76%,-1.40%,11.02%,12.84%,2.32%,-2.82%,10.38%,-5.28%,-0.71%,10.11%,13.08%
200009,0.51%,-5.62%,4.88%,5.46%,0.88%,-9.00%,0.25%,-1.45%,-0.63%,3.72%,-3.49%,5.93%,-3.72%,-12.27%,-14.30%,-10.71%,-5.22%,7.56%,-7.29%,-13.73%,4.48%,9.16%,-3.37%,-9.22%,-17.76%,-5.83%,-2.70%,3.62%,2.49%,1.63%,2.52%,-1.12%
200010,0.56%,-3.02%,6.41%,9.00%,22.80%,-3.66%,-2.64%,9.52%,3.86%,2.47%,2.58%,-2.75%,5.94%,-12.15%,-0.61%,-10.89%,2.97%,14.14%,-4.08%,7.16%,-3.01%,-1.81%,-0.26%,-7.33%,-6.85%,10.66%,7.76%,-2.55%,-2.08%,4.28%,-0.50%,-5.22%
200011,0.51%,-10.76%,4.39%,4.18%,4.07%,-12.89%,-5.51%,0.23%,4.25%,0.49%,0.94%,-0.85%,-2.73%,-15.68%,-9.03%,-9.35%,-13.43%,-0.71%,4.40%,9.24%,-2.96%,3.06%,-15.46%,-19.84%,-24.34%,-0.10%,1.41%,-6.82%,-0.24%,5.10%,-5.16%,-8.14%
200012,0.50%,1.53%,5.57%,-2.59%,16.96%,1.35%,11.14%,3.05%,14.55%,3.53%,10.12%,5.89%,12.15%,1.94%,8.04%,6.57%,-0.07%,-0.02%,6.79%,44.04%,7.44%,6.61%,-4.56%,-6.44%,-8.34%,11.14%,4.20%,12.83%,4.34%,2.42%,10.01%,-0.90%
200101,0.54%,3.41%,-4.41%,-4.72%,0.07%,15.22%,2.32%,-3.69%,3.31%,-8.89%,-4.71%,13.44%,-0.85%,6.15%,11.25%,2.17%,15.02%,-5.73%,0.69%,-2.48%,-3.38%,-10.77%,14.37%,17.82%,13.81%,-3.59%,5.78%,-1.83%,9.75%,-3.79%,-0.53%,-3.32%
200102,0.39%,-10.32%,1.33%,-6.32%,9.47%,-6.40%,0.35%,-1.15%,-10.97%,-0.57%,-2.07%,-2.52%,0.28%,-23.84%,-9.74%,-14.12%,-0.60%,3.39%,2.93%,23.09%,-0.06%,6.16%,-9.84%,-16.28%,-31.74%,2.52%,-5.12%,-4.85%,-6.19%,-0.06%,-5.13%,1.35%
200103,0.44%,-7.47%,-3.69%,-9.47%,-0.14%,-8.26%,-6.52%,-8.95%,-1.10%,-8.61%,-4.56%,-4.37%,-1.55%,-8.38%,-8.25%,-11.74%,-2.05%,-9.30%,-2.86%,18.90%,-0.36%,1.24%,-5.78%,-13.00%,-14.14%,-6.02%,-2.26%,-6.12%,-2.00%,-5.00%,-3.29%,-7.68%
200104,0.39%,8.00%,-1.72%,-2.13%,5.68%,14.16%,5.04%,1.62%,7.19%,4.18%,6.08%,5.30%,2.96%,13.33%,17.54%,9.64%,7.38%,12.63%,8.33%,8.44%,10.27%,5.54%,2.69%,18.79%,16.06%,5.87%,3.62%,8.14%,4.99%,6.78%,4.07%,12.74%
200105,0.32%,0.74%,2.75%,4.66%,2.24%,10.15%,3.41%,5.50%,3.96%,3.06%,1.19%,2.46%,2.10%,0.20%,2.09%,4.39%,-3.31%,2.38%,9.41%,-13.58%,0.19%,0.24%,-1.37%,1.26%,-6.43%,1.46%,5.01%,-0.41%,1.66%,4.23%,3.67%,1.26%
200106,0.28%,-2.03%,-0.58%,-4.91%,-0.56%,-4.85%,0.43%,0.74%,-1.83%,-2.72%,-2.83%,4.34%,0.05%,-7.30%,-4.84%,-8.06%,4.60%,-13.66%,-3.55%,-16.55%,-7.62%,-6.05%,-3.11%,3.97%,-1.54%,-4.20%,-3.19%,-2.06%,-2.63%,-3.78%,0.72%,-0.77%
