mdate,Rf,MktRf,Food,Beer,Smoke,Games,Books,Hshld,Clths,Hlth,Chems,Txtls,Cnstr,Steel,FabPr,ElcEq,Autos,Carry,Mines,Coal,Oil,Util,Telcm,Servs,BusEq,Paper,Trans,Whlsl,Rtail,Meals,Fin,Other
192607,0.22%,2.62%,0.53%,-5.19%,1.29%,2.30%,10.97%,-0.50%,8.08%,1.64%,7.92%,0.68%,2.00%,4.03%,5.48%,3.18%,16.45%,0.94%,5.64%,1.54%,-1.39%,7.10%,0.83%,9.22%,2.06%,7.66%,1.91%,-23.79%,-2.94%,1.83%,0.16%,5.20%
192608,0.25%,2.56%,2.71%,27.03%,6.53%,0.54%,10.01%,-3.58%,-2.51%,4.51%,5.41%,7.49%,4.63%,2.15%,2.12%,2.10%,4.19%,1.75%,0.55%,0.85%,3.52%,-1.74%,2.17%,2.02%,4.40%,-2.37%,4.87%,5.39%,-0.56%,-0.09%,4.38%,6.76%
192609,0.23%,0.36%,1.29%,4.02%,1.22%,5.92%,-0.99%,0.71%,-0.51%,0.61%,5.37%,2.40%,-0.52%,0.29%,0.34%,-0.56%,4.89%,2.58%,1.75%,0.30%,-3.67%,1.96%,2.41%,2.25%,0.18%,-5.55%,0.06%,-7.87%,0.17%,-0.58%,-1.36%,-3.86%
192610,0.32%,-3.43%,-3.13%,-3.31%,1.07%,-4.41%,9.47%,-4.66%,0.12%,-0.73%,-4.79%,0.07%,-4.50%,-3.79%,1.11%,-5.73%,-7.93%,-5.31%,-3.20%,2.23%,-1.04%,-2.67%,-0.11%,-2.00%,-1.08%,-5.03%,-2.65%,-15.38%,-5.34%,-4.13%,-5.09%,-8.49%
192611,0.31%,2.44%,6.28%,7.29%,4.41%,2.60%,-5.80%,-0.51%,1.87%,5.53%,5.34%,3.48%,2.23%,3.88%,3.21%,5.08%,-0.68%,7.65%,8.46%,-0.48%,0.03%,3.76%,1.63%,3.77%,3.64%,3.81%,1.59%,4.67%,4.04%,4.32%,2.29%,4.00%
192612,0.28%,2.77%,-0.45%,-4.09%,2.57%,1.62%,0.53%,2.53%,0.60%,0.15%,5.42%,7.42%,3.50%,3.65%,5.01%,-2.47%,10.52%,2.47%,1.83%,1.43%,2.93%,-0.12%,1.99%,6.21%,7.24%,-4.59%,3.60%,9.65%,2.93%,1.52%,2.79%,-2.34%
192701,0.25%,-0.11%,-0.70%,0.57%,-0.35%,2.46%,9.67%,4.07%,-1.06%,4.91%,0.24%,-2.89%,-1.74%,-0.36%,1.17%,-1.02%,-0.80%,-0.58%,4.17%,-3.06%,1.58%,-1.78%,1.88%,2.08%,-1.45%,-2.58%,1.45%,-17.93%,-3.34%,1.53%,-2.48%,-3.96%
192702,0.26%,4.32%,4.29%,12.83%,1.63%,1.43%,1.41%,4.59%,2.77%,1.65%,9.62%,8.05%,4.24%,3.68%,7.87%,4.30%,9.53%,4.58%,5.20%,5.64%,1.07%,4.57%,3.97%,8.90%,4.85%,5.41%,5.20%,3.49%,4.48%,6.81%,2.77%,0.28%
192703,0.30%,0.32%,1.98%,-13.56%,5.61%,0.57%,-0.28%,-0.08%,0.90%,0.88%,6.28%,-5.84%,3.49%,1.43%,-2.25%,0.40%,1.58%,-1.76%,4.44%,5.45%,-6.95%,0.44%,5.56%,-7.80%,4.30%,-9.68%,1.07%,-20.47%,3.05%,-2.44%,1.41%,2.18%
192704,0.25%,0.41%,2.60%,2.85%,4.09%,-3.34%,-0.96%,1.44%,5.95%,3.25%,2.97%,0.68%,-1.04%,-0.28%,1.78%,6.29%,2.92%,-0.80%,3.02%,0.95%,-5.72%,1.65%,-2.13%,3.44%,3.10%,4.89%,0.75%,-10.75%,2.09%,6.02%,3.76%,5.27%
192705,0.30%,5.39%,6.14%,11.62%,11.87%,-0.50%,3.13%,10.60%,3.38%,4.01%,3.99%,14.72%,7.73%,3.14%,8.82%,8.23%,5.52%,10.78%,0.26%,3.19%,4.97%,9.31%,3.35%,18.33%,5.10%,5.39%,6.92%,-4.01%,0.49%,4.69%,10.25%,1.64%
192706,0.26%,-2.30%,-2.16%,10.05%,-2.24%,-7.05%,12.54%,-3.01%,1.17%,0.45%,-1.80%,2.61%,-4.67%,-3.36%,-2.28%,3.47%,-3.33%,-4.06%,-1.93%,-3.35%,-3.18%,-3.64%,-2.14%,-6.80%,2.74%,5.39%,-1.99%,-4.18%,0.17%,1.26%,0.44%,-3.82%
192707,0.30%,7.27%,5.03%,4.59%,4.41%,0.78%,1.78%,5.52%,6.02%,9.84%,17.68%,4.09%,6.32%,10.36%,9.61%,14.29%,13.75%,11.99%,9.77%,2.19%,2.96%,5.31%,3.73%,2.15%,5.99%,12.02%,6.03%,11.11%,9.65%,4.68%,7.82%,6.81%
192708,0.28%,2.42%,2.29%,-3.98%,3.86%,5.13%,5.46%,0.52%,1.53%,0.28%,2.10%,0.15%,-1.18%,3.99%,0.90%,7.00%,7.36%,3.97%,-0.39%,2.43%,-0.22%,3.43%,0.43%,8.06%,2.61%,3.76%,-1.69%,-2.58%,13.59%,0.55%,1.46%,5.92%
192709,0.21%,4.69%,6.13%,7.01%,4.70%,4.17%,10.04%,2.54%,4.67%,5.65%,6.03%,1.73%,4.53%,3.73%,5.30%,0.44%,6.34%,3.73%,9.60%,1.46%,3.50%,8.29%,6.53%,2.15%,4.17%,3.37%,4.31%,5.60%,5.11%,5.94%,5.95%,0.43%
192710,0.25%,-4.44%,-2.46%,-0.80%,-0.32%,0.06%,2.63%,-1.82%,9.67%,5.13%,-7.46%,-2.50%,-4.48%,-7.83%,-5.21%,-8.14%,-4.55%,-6.71%,-3.17%,-5.33%,-1.75%,-4.34%,-2.09%,4.97%,-4.65%,0.14%,-4.59%,-21.78%,-6.13%,-1.75%,4.47%,-3.62%
192711,0.21%,6.66%,7.10%,10.29%,6.62%,3.48%,16.62%,2.73%,2.06%,3.68%,9.09%,6.13%,5.54%,12.43%,11.50%,11.12%,6.72%,8.14%,9.79%,7.48%,3.85%,6.32%,2.83%,2.30%,9.35%,16.87%,3.91%,-1.30%,11.24%,3.01%,7.42%,11.19%
192712,0.22%,2.15%,3.51%,12.72%,1.05%,2.12%,3.27%,10.34%,-0.15%,-0.46%,-0.24%,2.48%,0.01%,5.80%,2.92%,1.13%,7.69%,2.76%,15.29%,-3.33%,1.28%,2.24%,1.33%,-7.83%,1.31%,1.04%,0.10%,11.45%,-0.15%,-1.56%,11.72%,1.07%
192801,0.25%,-0.60%,2.62%,0.62%,-2.57%,-0.35%,5.16%,3.67%,7.04%,2.69%,-1.02%,-1.56%,1.86%,-2.40%,-1.24%,-1.02%,-3.15%,4.19%,-2.80%,-3.79%,-1.69%,5.87%,0.30%,0.56%,1.21%,1.51%,-1.24%,-0.95%,-0.53%,-1.58%,0.34%,-3.38%
192802,0.33%,-1.77%,-2.79%,-5.22%,-5.70%,-1.18%,-1.75%,-0.01%,-2.45%,-1.38%,0.64%,-5.61%,1.57%,-2.74%,-2.76%,-1.42%,0.95%,-4.60%,-8.08%,-1.33%,-0.11%,-0.68%,-0.30%,-0.52%,2.01%,0.86%,-1.35%,-8.29%,-1.62%,-2.59%,-2.25%,-2.68%
192803,0.29%,8.80%,5.02%,14.47%,2.33%,7.79%,5.26%,10.02%,4.00%,10.54%,13.11%,9.04%,6.60%,6.20%,6.50%,25.65%,28.00%,6.53%,8.04%,5.23%,5.38%,6.62%,1.96%,-2.44%,3.23%,11.08%,5.78%,8.12%,8.94%,3.47%,8.85%,8.85%
192804,0.22%,4.10%,2.66%,4.87%,-5.89%,4.33%,21.23%,3.59%,9.92%,2.35%,-0.27%,-4.83%,2.91%,1.40%,3.48%,2.44%,1.05%,2.28%,-0.64%,1.95%,16.26%,10.94%,3.22%,2.42%,1.62%,-0.25%,4.37%,-5.85%,0.52%,0.47%,6.93%,10.95%
192805,0.32%,1.52%,1.58%,5.48%,-0.11%,3.04%,17.68%,-2.50%,-0.94%,9.27%,2.90%,-6.43%,-0.44%,5.52%,4.79%,2.14%,5.89%,-1.63%,0.92%,0.49%,-5.69%,1.51%,6.61%,0.78%,3.87%,6.13%,-0.44%,7.95%,3.70%,14.12%,3.40%,-0.80%
192806,0.31%,-4.84%,-3.88%,-4.21%,-4.21%,-4.83%,-10.78%,-6.66%,-7.17%,-3.15%,-2.94%,-11.33%,-3.88%,-5.80%,-3.19%,-5.81%,-4.03%,-5.85%,-3.88%,-6.08%,-3.89%,-3.43%,-5.22%,-5.25%,-3.07%,-5.74%,-3.85%,-7.41%,-4.12%,-2.81%,-9.27%,-11.95%
192807,0.32%,0.69%,1.19%,0.70%,3.59%,1.46%,1.13%,0.66%,0.53%,2.68%,1.77%,-3.69%,1.91%,2.80%,0.44%,-1.01%,1.20%,-1.52%,0.02%,-1.07%,1.12%,-1.15%,-1.28%,-4.94%,5.59%,4.34%,-0.37%,0.32%,5.05%,-0.60%,-0.21%,-0.80%
192808,0.32%,6.64%,7.68%,12.40%,3.62%,9.25%,6.48%,9.54%,0.17%,15.11%,8.86%,0.64%,4.38%,9.49%,7.54%,12.30%,9.12%,5.79%,8.58%,1.86%,2.41%,6.46%,4.55%,15.16%,3.72%,12.69%,4.02%,4.04%,11.74%,12.33%,5.56%,12.78%
192809,0.27%,2.87%,1.79%,0.26%,-0.31%,10.84%,-2.36%,10.47%,-1.13%,-1.50%,3.71%,4.51%,5.30%,5.58%,3.79%,0.28%,8.13%,-0.56%,3.24%,-1.09%,5.61%,3.35%,0.15%,-0.17%,2.14%,-1.62%,0.28%,1.06%,1.58%,-0.03%,12.21%,-4.06%
192810,0.41%,1.47%,-0.49%,4.04%,3.17%,-1.06%,5.62%,8.20%,-3.55%,-0.08%,5.16%,6.38%,5.88%,6.39%,2.27%,2.11%,0.05%,-1.14%,4.48%,-1.69%,2.12%,-1.64%,2.97%,5.22%,0.95%,-5.47%,-1.29%,18.31%,4.16%,-2.16%,3.20%,-5.21%
192811,0.38%,11.75%,6.57%,5.70%,6.71%,10.88%,1.01%,16.56%,2.57%,5.05%,12.38%,9.51%,9.29%,14.97%,15.87%,23.51%,4.65%,10.15%,15.81%,6.04%,17.92%,21.98%,6.68%,17.77%,7.98%,5.10%,9.37%,11.98%,14.34%,9.35%,9.83%,3.77%
192812,0.06%,0.47%,0.57%,-3.84%,-1.87%,-0.61%,-0.49%,-3.67%,-0.33%,-0.28%,2.35%,-5.58%,1.10%,3.76%,3.35%,7.03%,-0.08%,1.28%,2.22%,-0.92%,-4.52%,1.52%,-0.38%,-7.63%,7.53%,1.60%,0.25%,-3.84%,-1.35%,-3.05%,1.39%,-12.59%
192901,0.34%,4.87%,3.49%,9.46%,3.88%,10.62%,1.52%,6.63%,-1.86%,3.25%,22.83%,-0.12%,7.94%,7.68%,12.20%,12.79%,0.94%,0.94%,9.27%,1.84%,-8.19%,12.96%,13.38%,-0.64%,2.28%,6.11%,4.75%,-4.99%,-4.38%,-0.08%,8.72%,1.21%
192902,0.36%,-0.38%,-1.70%,-4.06%,-4.29%,1.14%,-1.49%,-6.92%,-4.10%,-0.16%,-0.16%,2.84%,-3.36%,8.79%,1.01%,-1.31%,0.35%,0.97%,9.16%,0.95%,-0.09%,-2.10%,-1.15%,11.02%,1.51%,5.83%,-1.45%,-3.19%,-2.58%,0.14%,0.04%,-6.18%
192903,0.34%,-1.14%,-4.70%,-2.90%,-4.00%,-10.01%,-7.05%,-7.64%,-5.33%,-1.93%,-3.29%,-5.58%,-6.11%,-0.12%,-3.97%,5.23%,-1.27%,0.64%,4.39%,-6.53%,12.08%,-3.10%,4.29%,-1.42%,2.33%,1.52%,-2.82%,-9.58%,-5.79%,-3.47%,-1.56%,-7.41%
192904,0.36%,1.32%,3.65%,13.63%,-2.38%,0.62%,1.73%,0.56%,3.65%,1.55%,3.68%,3.98%,3.66%,1.39%,4.25%,1.07%,-1.25%,-0.21%,-5.79%,-2.32%,0.90%,5.26%,3.39%,3.94%,3.88%,8.10%,1.30%,3.59%,2.84%,10.34%,1.17%,-10.73%
192905,0.44%,-6.35%,-5.20%,-11.00%,-0.17%,-8.02%,0.31%,-10.35%,-6.58%,-7.67%,-6.97%,-13.81%,-6.89%,-12.43%,-9.55%,0.84%,-15.14%,-7.59%,-11.93%,-4.74%,-5.59%,5.17%,-8.77%,-4.92%,-0.88%,-8.27%,2.52%,-6.57%,-7.48%,-2.78%,-2.77%,-13.21%
192906,0.52%,9.45%,8.00%,12.51%,-0.27%,5.90%,10.64%,14.73%,5.66%,4.13%,19.88%,3.04%,4.92%,10.77%,15.20%,19.21%,6.76%,10.67%,2.76%,2.01%,1.10%,23.43%,13.70%,19.01%,8.98%,12.82%,5.98%,-2.99%,7.77%,18.82%,6.50%,5.08%
192907,0.33%,4.20%,4.73%,1.61%,2.17%,-2.38%,0.94%,6.74%,-3.99%,2.87%,5.08%,-3.49%,3.55%,3.68%,5.10%,10.16%,-3.87%,4.98%,-2.64%,19.60%,-0.65%,9.34%,13.69%,-0.73%,4.77%,6.87%,8.34%,-3.00%,-0.04%,1.90%,8.20%,4.50%
192908,0.40%,8.16%,4.29%,9.79%,8.43%,6.16%,1.50%,5.03%,0.98%,4.04%,11.89%,-4.58%,2.62%,11.84%,11.01%,12.98%,2.09%,1.97%,9.80%,5.13%,12.05%,9.23%,10.99%,-3.71%,9.52%,9.40%,8.39%,-5.79%,7.34%,4.71%,6.08%,-3.00%
192909,0.35%,-5.35%,-2.41%,-2.26%,-7.57%,-1.82%,-1.71%,6.22%,-4.15%,-6.98%,-6.75%,-2.55%,-2.99%,-8.97%,-5.58%,-11.33%,-9.09%,-9.13%,-5.20%,-2.21%,-2.89%,1.55%,-1.35%,38.70%,10.54%,-4.55%,-7.74%,-0.68%,-4.66%,-3.19%,-5.70%,-0.17%
192910,0.46%,-20.01%,-14.49%,-26.26%,2.66%,-17.42%,-12.22%,-33.65%,-9.32%,-18.02%,-24.56%,-24.13%,-16.97%,-15.62%,-21.76%,-30.21%,-28.07%,-21.84%,-12.97%,-7.03%,-10.01%,-29.86%,-15.41%,-13.59%,-18.66%,-14.62%,-7.95%,-23.20%,-24.01%,-19.66%,-29.61%,-32.63%
192911,0.37%,-12.70%,-9.49%,-11.85%,-6.21%,-17.43%,-3.36%,-13.96%,-10.30%,-8.53%,-16.02%,-14.70%,-10.63%,-13.76%,-13.83%,-18.38%,-17.56%,-10.42%,-16.13%,-4.81%,-6.38%,-14.66%,-9.47%,-9.98%,-21.97%,-14.16%,-7.85%,-6.67%,-12.48%,-10.28%,-14.30%,-15.29%
192912,0.37%,1.43%,-0.08%,2.03%,2.92%,-8.11%,0.21%,1.55%,3.71%,1.40%,6.34%,-8.23%,-1.27%,-0.36%,3.36%,12.87%,4.04%,3.37%,-1.80%,-5.89%,-0.66%,7.95%,1.00%,-1.83%,4.69%,-0.10%,-0.08%,-0.81%,-3.24%,3.62%,0.54%,-8.65%
193001,0.14%,5.52%,4.85%,-8.61%,8.57%,25.05%,2.10%,9.58%,3.69%,2.24%,8.29%,12.53%,7.16%,5.63%,8.31%,10.92%,6.29%,2.26%,4.26%,0.53%,-0.99%,7.21%,1.19%,-48.85%,8.60%,7.66%,3.88%,3.10%,3.13%,11.82%,9.56%,31.77%
193002,0.30%,2.47%,-0.02%,1.15%,5.86%,17.75%,6.92%,-9.63%,-0.26%,2.88%,2.46%,5.86%,0.58%,0.28%,4.69%,7.72%,3.61%,6.31%,-0.81%,4.75%,-5.02%,8.43%,7.06%,58.90%,7.29%,8.35%,2.13%,-4.61%,-5.90%,0.10%,6.58%,-1.96%
193003,0.35%,7.15%,1.04%,-8.27%,4.55%,16.31%,2.47%,-0.20%,7.27%,5.90%,10.20%,-4.10%,3.53%,5.52%,5.30%,9.30%,12.71%,5.87%,2.72%,0.96%,18.57%,9.43%,8.83%,9.41%,4.40%,6.21%,3.88%,-4.90%,-1.99%,4.96%,8.95%,6.27%
193004,0.21%,-2.30%,3.28%,-11.33%,-2.92%,2.38%,0.95%,-3.59%,-1.13%,0.05%,-5.34%,-8.92%,-5.41%,-13.33%,6.64%,3.02%,-8.57%,-6.59%,-14.93%,-8.42%,7.51%,3.38%,-4.52%,-0.42%,-1.55%,-2.73%,-7.11%,4.65%,0.84%,2.45%,-3.39%,-3.25%
193005,0.26%,-1.59%,1.92%,-0.45%,1.76%,-3.58%,-0.87%,-8.69%,-4.20%,-1.22%,-2.32%,-3.50%,-1.34%,0.03%,-5.74%,-4.95%,5.06%,-5.71%,6.26%,-2.23%,-3.61%,-1.20%,0.40%,-14.75%,-1.92%,-0.91%,-0.41%,-8.20%,-0.06%,-1.87%,-5.87%,-8.15%
193006,0.27%,-16.06%,-11.57%,-29.19%,-9.05%,-25.76%,-11.97%,-26.90%,-12.44%,-13.21%,-17.66%,-18.82%,-18.51%,-13.31%,-16.99%,-20.03%,-22.58%,-17.76%,-8.61%,-11.34%,-15.40%,-19.06%,-8.34%,-3.47%,-18.14%,-17.72%,-9.85%,-24.09%,-14.87%,-17.24%,-21.67%,-18.05%
193007,0.20%,3.77%,3.17%,1.88%,2.93%,3.65%,3.79%,5.76%,3.16%,6.12%,5.39%,5.66%,7.76%,3.48%,3.05%,4.03%,11.82%,4.78%,4.04%,-1.32%,5.44%,1.82%,1.27%,1.88%,4.24%,7.48%,3.29%,-1.19%,3.26%,2.66%,4.58%,8.48%
193008,0.09%,0.32%,1.77%,9.08%,4.58%,4.90%,-2.69%,0.31%,-2.83%,8.08%,4.29%,-0.50%,-2.64%,-2.50%,0.93%,1.66%,-2.24%,0.32%,-14.93%,2.43%,-3.45%,1.59%,1.74%,5.76%,4.55%,-1.40%,0.32%,-6.83%,4.69%,1.72%,1.54%,-0.84%
193009,0.22%,-12.62%,-10.24%,-12.20%,-8.70%,-17.58%,-3.55%,-10.36%,-3.33%,-8.71%,-14.03%,-14.67%,-15.67%,-11.85%,-16.62%,-19.94%,-16.42%,-17.50%,-8.97%,-5.84%,-15.94%,-12.04%,-5.26%,-6.67%,-11.38%,-12.83%,-8.36%,-9.68%,-9.53%,-14.04%,-18.14%,-18.12%
193010,0.09%,-8.79%,-4.85%,-1.88%,-4.70%,-8.91%,-6.18%,-4.68%,-5.01%,-4.66%,-12.30%,-3.78%,-14.54%,-9.00%,-10.75%,-18.64%,-11.21%,-11.65%,-11.74%,-11.44%,-8.00%,-8.71%,-4.11%,0.27%,-12.59%,-3.07%,-6.60%,-5.65%,-8.59%,-10.47%,-15.98%,-14.69%
193011,0.13%,-2.73%,1.03%,3.22%,-0.89%,-6.27%,-3.26%,-2.12%,1.42%,-3.08%,0.11%,-4.49%,-2.87%,-1.34%,-0.72%,-3.61%,6.01%,3.61%,5.07%,-9.44%,-3.43%,-8.07%,-3.28%,-6.68%,-2.14%,0.21%,-5.41%,1.83%,3.03%,-2.40%,-9.01%,2.23%
193012,0.14%,-7.98%,-4.97%,-12.23%,-3.10%,-14.95%,-4.50%,-6.09%,-7.51%,-7.30%,-4.67%,-4.04%,-12.24%,-8.83%,-9.56%,-12.02%,-1.55%,-14.73%,-9.68%,-8.66%,-12.41%,-3.63%,-3.80%,1.00%,-6.24%,-5.86%,-7.88%,-4.54%,-13.17%,-8.11%,-12.95%,-13.24%
193101,0.15%,6.10%,5.71%,7.72%,6.53%,15.82%,1.40%,8.52%,-0.16%,7.96%,-0.75%,11.85%,6.14%,2.97%,5.70%,5.02%,7.05%,11.11%,7.45%,13.94%,4.76%,6.15%,4.79%,5.84%,5.54%,2.85%,11.46%,4.62%,5.92%,6.84%,19.26%,17.61%
193102,0.04%,10.90%,7.29%,16.70%,6.89%,8.92%,2.42%,6.25%,2.67%,8.59%,13.44%,14.99%,14.26%,14.52%,12.00%,25.01%,17.35%,11.45%,15.18%,-0.64%,5.96%,15.44%,5.95%,2.05%,14.30%,12.75%,2.28%,-1.90%,16.64%,11.16%,17.72%,16.29%
193103,0.13%,-6.53%,-2.68%,-25.37%,0.28%,-5.59%,-1.94%,-4.23%,1.34%,1.81%,-7.27%,-4.70%,-6.22%,-7.23%,-8.15%,-7.95%,-4.13%,-7.96%,-9.23%,-12.89%,-14.27%,-3.26%,-3.58%,1.09%,-6.36%,-0.44%,-10.43%,-2.34%,-4.58%,-5.51%,-8.38%,17.02%
193104,0.08%,-9.93%,-8.33%,-20.61%,2.55%,-27.10%,-8.98%,-4.04%,-7.92%,-3.69%,-12.74%,-13.68%,-13.82%,-17.29%,-15.82%,-14.60%,-7.66%,-16.57%,-13.55%,-9.83%,-13.59%,-9.95%,-4.24%,-1.34%,-7.39%,-8.35%,-7.16%,-4.34%,-4.19%,-12.72%,-15.40%,-18.61%
193105,0.09%,-13.38%,-12.07%,-9.44%,-11.03%,-23.93%,-11.32%,-9.86%,-0.44%,-9.97%,-12.12%,-8.55%,-15.67%,-20.64%,-19.19%,-11.45%,-15.95%,-16.53%,-8.74%,-18.76%,-12.16%,-10.78%,-8.94%,-50.85%,-17.26%,-15.03%,-17.15%,-15.16%,-3.90%,-6.33%,-19.65%,-7.61%
193106,0.08%,13.72%,10.92%,10.64%,12.57%,22.69%,2.06%,7.95%,11.63%,9.58%,19.61%,10.14%,14.75%,19.32%,12.41%,18.56%,15.11%,21.25%,8.26%,22.50%,17.28%,12.12%,10.20%,1.56%,18.46%,15.38%,16.03%,2.71%,7.10%,5.36%,23.53%,13.91%
193107,0.06%,-6.56%,-3.69%,-10.21%,-3.48%,-8.77%,-2.19%,-1.42%,-3.31%,3.18%,-6.41%,-6.40%,-10.11%,-15.17%,-12.05%,-10.30%,-2.33%,-9.20%,-7.95%,-6.51%,-2.91%,-5.21%,-4.88%,-1.55%,-9.99%,-12.77%,-10.51%,-8.09%,-0.74%,-8.39%,-8.64%,2.64%
193108,0.03%,0.20%,1.55%,13.50%,-3.49%,5.51%,-5.98%,-1.27%,-2.45%,0.03%,1.37%,-0.46%,-2.95%,0.68%,-1.71%,3.80%,-2.63%,-3.26%,3.50%,-1.01%,10.15%,-1.99%,0.82%,0.18%,3.70%,0.91%,-6.70%,1.10%,2.22%,0.89%,0.06%,0.20%
193109,0.03%,-29.04%,-28.26%,-25.20%,-21.31%,-42.94%,-22.35%,-35.31%,-8.27%,-29.95%,-30.31%,-24.92%,-31.46%,-27.10%,-33.38%,-34.50%,-34.90%,-30.86%,-33.80%,7.32%,-29.72%,-32.96%,-21.56%,-16.72%,-31.65%,-23.48%,-20.59%,-26.55%,-28.70%,-27.03%,-39.47%,-26.58%
193110,0.10%,7.82%,10.59%,24.81%,6.13%,18.86%,-16.41%,16.37%,-2.54%,11.06%,4.99%,3.32%,5.72%,2.12%,9.11%,11.75%,12.25%,13.46%,17.66%,1.13%,15.33%,10.44%,4.36%,2.39%,10.16%,11.45%,-3.16%,8.01%,12.74%,10.93%,11.04%,5.04%
193111,0.17%,-9.05%,-2.93%,-10.74%,-6.08%,-29.87%,-9.43%,-7.46%,-1.26%,-2.45%,-5.10%,-14.71%,-9.81%,-10.12%,-7.24%,-15.88%,-3.66%,-13.26%,-5.94%,-25.00%,-7.86%,-4.66%,-6.83%,-3.17%,-8.60%,-9.81%,-21.37%,-18.90%,-7.15%,-14.60%,-11.20%,-4.40%
193112,0.12%,-13.46%,-10.45%,-7.57%,-6.32%,-30.35%,-21.11%,-9.29%,-14.19%,-4.11%,-6.28%,-7.12%,-17.57%,-25.77%,-17.38%,-14.16%,-8.27%,-16.72%,-12.86%,-7.35%,-18.82%,-13.29%,-7.93%,-21.39%,-10.97%,-12.21%,-14.74%,-20.86%,-13.54%,-13.07%,-21.40%,-13.69%
193201,0.23%,-1.31%,-1.56%,-5.56%,8.16%,17.33%,-4.35%,1.64%,4.82%,-3.00%,-5.79%,-0.30%,-1.20%,3.30%,1.33%,-14.28%,-7.84%,12.61%,1.32%,2.10%,-5.19%,-2.52%,-4.04%,-0.78%,-3.84%,-0.77%,7.85%,-0.02%,0.37%,-4.62%,4.25%,5.62%
193202,0.23%,5.37%,7.35%,17.88%,3.39%,6.23%,-0.08%,2.73%,0.73%,2.80%,8.85%,2.52%,10.73%,5.30%,-1.31%,8.60%,2.09%,1.62%,-1.88%,0.05%,8.95%,6.98%,11.63%,2.11%,0.26%,11.56%,-4.01%,3.59%,3.12%,7.60%,14.22%,4.20%
193203,0.16%,-11.03%,-6.76%,-10.60%,-4.38%,-21.93%,-11.75%,-17.40%,-2.28%,-6.87%,-11.44%,-7.48%,-14.01%,-16.49%,-12.60%,-17.16%,-22.21%,-21.30%,-6.13%,-3.56%,-0.20%,-9.51%,-9.90%,-1.50%,-6.78%,-8.34%,-17.61%,-44.47%,-7.98%,-7.04%,-14.86%,-14.35%
193204,0.11%,-18.03%,-12.84%,-9.88%,-9.89%,-24.15%,-13.84%,-7.67%,-4.98%,-19.91%,-33.31%,-15.89%,-16.07%,-19.83%,-20.43%,-22.93%,-28.58%,-14.91%,-14.36%,-3.17%,-13.40%,-15.59%,-12.38%,-5.01%,-27.00%,-29.30%,-24.95%,-4.96%,-14.53%,-19.68%,-18.66%,-16.82%
193205,0.06%,-20.81%,-23.27%,-24.73%,-21.36%,-44.44%,-27.08%,-20.43%,-3.67%,-34.74%,-9.99%,-20.14%,-18.03%,-23.03%,-21.08%,-33.83%,-18.49%,-24.59%,-10.88%,-27.34%,-4.55%,-26.83%,-10.80%,-2.23%,-15.53%,-15.46%,-33.73%,-34.96%,-30.25%,-26.44%,-30.31%,-14.43%
193206,0.02%,-0.53%,0.31%,19.26%,5.93%,12.11%,-17.94%,-17.12%,-4.79%,10.43%,-5.01%,-7.77%,1.91%,2.22%,-5.54%,10.20%,-7.59%,9.78%,-10.22%,-0.82%,5.78%,1.54%,-9.55%,-20.11%,0.84%,-3.56%,-2.98%,5.30%,-2.78%,0.67%,6.51%,-1.98%
193207,0.03%,33.72%,30.07%,19.14%,24.96%,63.61%,41.51%,33.96%,-21.78%,29.95%,28.78%,32.21%,35.45%,62.24%,43.70%,55.41%,44.71%,44.66%,46.14%,20.69%,34.96%,29.18%,16.67%,24.30%,18.78%,21.20%,61.15%,15.23%,27.61%,25.38%,51.23%,29.81%
193208,0.03%,36.57%,23.77%,38.35%,17.66%,66.81%,36.64%,26.34%,27.55%,37.46%,36.33%,56.59%,37.36%,58.80%,51.94%,50.03%,48.37%,44.06%,29.47%,16.58%,17.30%,43.16%,28.16%,-0.60%,31.63%,42.86%,65.35%,55.53%,34.73%,24.68%,59.85%,36.50%
193209,0.03%,-3.12%,-1.15%,-2.83%,0.17%,-10.54%,1.75%,0.01%,0.78%,-12.86%,5.65%,-10.50%,2.28%,-10.06%,-4.08%,-6.03%,5.77%,9.76%,-5.62%,-17.01%,-10.33%,-4.61%,0.25%,-1.88%,-4.17%,-3.28%,-2.45%,25.83%,0.29%,1.50%,-6.90%,-8.45%
193210,0.02%,-13.14%,-9.33%,-12.13%,-13.80%,-25.74%,-19.66%,-10.93%,-8.64%,-19.42%,-16.21%,-14.10%,-15.92%,-15.67%,-22.40%,-21.29%,-24.66%,-21.21%,-7.12%,-9.79%,-3.01%,-10.88%,-8.12%,-2.85%,-11.30%,-3.93%,-19.63%,-19.42%,-11.20%,-14.33%,-16.80%,-8.08%
193211,0.02%,-5.59%,-6.75%,-5.15%,-8.33%,-9.95%,-3.46%,-5.24%,-4.28%,6.32%,-1.65%,-8.95%,-6.17%,-22.69%,-6.55%,-9.37%,-2.67%,-6.83%,2.36%,11.93%,-4.10%,-3.38%,-1.12%,0.26%,-4.89%,-2.98%,-9.50%,-10.23%,-5.10%,-6.52%,-3.78%,-10.26%
